I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5265,No,1990,11,15,2,34,32.4,48,6.8,,6.8,6,,,,,INDONESIA,,"INDONESIA:   N SUMATERA, BLANGKEJEREN, KUTACANE",3.908,97.457,60,1,1,,,32,1,2.1,2,,,,,1,1,,,32,1,2.1,2,,,,
5266,No,1990,11,27,4,37,58.5,24,5.6,,5.6,5.1,,,,8,BOSNIA-HERZEGOVINA,,BALKANS NW:  BOSNIA-HERZEGOVINA:  TITOGRAD,43.853,16.633,130,,,,,10,1,,2,,,,,,,,,10,1,,2,,,,
5267,No,1990,12,1,18,9,28.8,29,4.6,,4.6,5,,,,6,KYRGYZSTAN,,KYRGYZSTAN:  UZGEN,40.854,73.553,40,,,,,,,,3,,,1110,4,,,,,,,,3,,,1110,4
5268,Yes,1990,12,13,0,24,25.7,11,5.3,,5.3,5.5,,,,7,ITALY,,ITALY:  SICILY:  CARLENTINI,37.3,15.438,130,19,1,,,200,3,500,4,,,,,19,1,,,200,3,500,4,,,,
5269,No,1990,12,13,3,1,48,12,6.2,,6.2,5.9,,,,4,TAIWAN,,"TAIWAN:  HUALIEN,  TAIPEI",23.916,121.636,30,2,1,,,3,1,,1,,,,,2,1,,,3,1,,1,,,,
7802,Yes,1990,12,13,19,50,17.8,10,6.3,,6.3,5.9,,,,5,TAIWAN,,TAIWAN:  HUA-LIEN,23.722,121.627,30,,,,,,,,1,,,,,,,,,,,,1,,,,
5270,No,1990,12,21,6,57,42.9,13,5.9,,5.9,5.8,,,,7,GREECE,,"GREECE:  EDHESSA, KILKIS",41.004,22.3,130,1,1,,,60,2,,1,,,,2,1,1,,,60,2,,1,,,,2
5271,No,1990,12,22,17,27,54.8,17,5.7,,5.7,5.3,,,,8,COSTA RICA,,"COSTA RICA:  ALAJUELA, SANTIAGO DE PURISCAL",9.869,-84.302,100,2,1,,,350,3,19.5,3,,,,,2,1,,,350,3,19.5,3,,,,
8958,No,1990,12,30,19,14,18.9,179,7.5,7.5,,6.6,,,,,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN,-5.097,150.967,170,,,,,,,,1,,,,,,,,,,,,1,,,,
5272,No,1991,1,5,14,57,11.5,20,7.1,,7.1,6.2,,,,,MYANMAR (BURMA),,"MYANMAR (BURMA):  THABEIKKYIN, MANDALAY",23.613,95.901,60,,,,,,,,1,,,32,1,,,,,,,,1,,,32,1
5274,No,1991,1,31,23,3,33.6,142,6.4,,,6.4,,,,7,AFGHANISTAN,,"AFGHANISTAN:  BADAKHSTAN, BAGHLAN, LAGHMAN, NAGARHAR",35.993,70.423,40,848,3,,,200,3,36,4,,3,2000,4,848,3,,,200,3,36,4,,3,2000,4
6478,Yes,1991,2,9,16,18,58.3,10,6.9,6.9,6.9,6.4,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.929,159.139,170,,,,,,,,1,,,,,,,,,,,,1,,,,
5275,No,1991,2,13,15,49,38.9,5,3.8,,,,3.8,,,,FRANCE,,FRANCE,44.885,6.76,120,9,1,,,,,,1,,,,,9,1,,,,,,1,,,,
6479,Yes,1991,2,16,1,23,40.4,39,5.7,,5.7,6.3,,,,,RUSSIA,,RUSSIA:  KURIL ISLANDS,48.268,154.328,50,,,,,,,,,,,,,,,,,,,,,,,,
6480,Yes,1991,2,21,2,35,34,20,6.7,6.7,6.5,6.2,,,,,BERING SEA,AK,BERING SEA,58.427,-175.45,80,,,,,,,,,,,,,,,,,,,,,,,,
5276,No,1991,2,25,14,30,27.6,21,6.1,,6.1,5.5,,,,,CHINA,,CHINA:  S XINJIANG:  KALPIN,40.386,78.959,40,,,,,3,1,,2,8561,4,,,,,,,3,1,,2,8561,4,,
5277,No,1991,3,25,18,2,41.5,10,5.5,,5.5,5.1,,,,,CHINA,,"CHINA:  NE, DATONG",39.887,113.923,30,,,,,131,3,,2,1328,4,,,,,,,131,3,,2,1328,4,,
5278,No,1991,4,4,15,23,20.7,21,6.4,,6.4,6,,,,5,PERU,,"PERU:  RIOJA, NEUVA CAJAMARCA",-6.038,-77.13,160,,,,,10,1,,1,,,15,1,,,,,10,1,,1,,,15,1
5279,No,1991,4,5,4,19,49.5,20,6.7,,6.7,6.5,,,,7,PERU,,"PERU:  RIOJA, MOYOBAMBA, NUEVA CAJAMARCA",-5.982,-77.094,160,53,2,,,252,3,,3,,,8063,4,53,2,,,252,3,,3,,,8063,4
5280,No,1991,4,18,9,18,30.4,33,5.1,,5.1,5.4,,,,7,AFGHANISTAN,,AFGHANISTAN:  BADAKHSTAN PROVINCE,37.457,68.273,40,,2,,,,3,,3,,,1000,3,,2,,,,3,,3,,,1000,3
